aid,epaReg,prodName,sourcePage,evType,ts
a022ea808a142a4d03a9b4eb3dfa74859a16241e510b3f56edbfdecf50ce8fae,241-418,PROWL H2O HERBICIDE,PICOL,evDownloadLabel,2021-02-09T15:08:32.495Z
eed5d9f16f5d6d5bcfad88f636b15247c5f7b428e49b71d6f7fe111a3802a1e5,51934-12,Cidetrak® Da Mec™,H&S,evDownloadLabel,2021-02-09T21:06:08.933Z
eed5d9f16f5d6d5bcfad88f636b15247c5f7b428e49b71d6f7fe111a3802a1e5,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2021-02-09T21:33:55.324Z
eed5d9f16f5d6d5bcfad88f636b15247c5f7b428e49b71d6f7fe111a3802a1e5,62719-220,Lorsban®-4E Insecticide,H&S,evDownloadLabel,2021-02-09T21:36:31.295Z
5496cd2b15689a116f0c7d4cb93deec3afed899cf38e783cc8707af475db91b0,2935-546,440 Superior Spray Oil,H&S,evDownloadLabel,2021-02-11T22:04:17.030Z
5496cd2b15689a116f0c7d4cb93deec3afed899cf38e783cc8707af475db91b0,400-503,Acramite® - 50WS,H&S,evDownloadLabel,2021-02-11T22:14:05.690Z
5496cd2b15689a116f0c7d4cb93deec3afed899cf38e783cc8707af475db91b0,400-503,Acramite® - 50WS,H&S,evDownloadLabel,2021-02-11T22:17:26.757Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,55146-96,AGRI-MYCIN 17,PICOL,evDownloadLabel,2021-02-12T00:34:29.281Z
d971779855905cb2ae9b7605830a180e6ac0835a76f3f3913723776a2f7afe70,55146-96,AGRI-MYCIN 17,PICOL,evDownloadLabel,2021-02-12T00:34:34.373Z
01d5716c7fa1a292ef32f503d3554ae7760f3be50870e80d4fd921b5d0ff2f43,71908-1-81268,AZAMAX,PICOL,evDownloadLabel,2021-02-12T00:52:35.321Z
01d5716c7fa1a292ef32f503d3554ae7760f3be50870e80d4fd921b5d0ff2f43,91234-104,BATTALLION 2EC,PICOL,evDownloadLabel,2021-02-12T00:56:17.740Z
01d5716c7fa1a292ef32f503d3554ae7760f3be50870e80d4fd921b5d0ff2f43,100-1529,ACADEMY FUNGICIDE,PICOL,evDownloadLabel,2021-02-12T05:37:32.488Z
5496cd2b15689a116f0c7d4cb93deec3afed899cf38e783cc8707af475db91b0,5481-502,Ambush® 25W Insecticide Wettable Powder,H&S,evDownloadLabel,2021-02-12T19:10:04.437Z
5496cd2b15689a116f0c7d4cb93deec3afed899cf38e783cc8707af475db91b0,264-806,Calypso® 4 Flowable Insecticide,H&S,evDownloadLabel,2021-02-12T19:12:04.995Z
